Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2012,2013,2014,2015,2016,2017,2018,2019,2020
STP,Sao Tome and Principe,32535,Rank,Rank,72,72,76,66,62,64,64,64,63
SUR,Suriname,32534,CPI Score,Total,37,36,36,36,45,41,43,44,38
SUR,Suriname,32535,Rank,Rank,88,94,100,88,64,77,73,70,94
SVK,Slovak Republic,32534,CPI Score,Total,46,47,50,51,51,50,50,50,49
SVK,Slovak Republic,32535,Rank,Rank,62,61,54,50,54,54,57,59,60
SVN,Slovenia,32534,CPI Score,Total,61,57,58,60,61,61,60,60,60
SVN,Slovenia,32535,Rank,Rank,37,43,39,35,31,34,36,35,35
SWE,Sweden,32534,CPI Score,Total,88,89,87,89,88,84,85,85,85
SWE,Sweden,32535,Rank,Rank,4,3,4,3,4,6,3,4,3
SWZ,Swaziland,32534,CPI Score,Total,37,39,43,,,39,38,34,33
SWZ,Swaziland,32535,Rank,Rank,88,82,69,,,85,89,113,117
SYC,Seychelles,32534,CPI Score,Total,52,54,55,55,,60,66,66,66
SYC,Seychelles,32535,Rank,Rank,51,47,43,40,,36,28,27,27
SYR,Syrian Arab Republic,32534,CPI Score,Total,26,17,20,18,13,14,13,13,14
SYR,Syrian Arab Republic,32535,Rank,Rank,144,168,159,154,173,178,178,178,178
TCD,Chad,32534,CPI Score,Total,19,19,22,22,20,20,19,20,21
TCD,Chad,32535,Rank,Rank,165,163,154,147,159,165,165,162,160
TGO,Togo,32534,CPI Score,Total,30,29,29,32,32,32,30,29,29
TGO,Togo,32535,Rank,Rank,128,123,126,107,116,117,129,130,134
THA,Thailand,32534,CPI Score,Total,37,35,38,38,35,37,36,36,36
THA,Thailand,32535,Rank,Rank,88,102,85,76,101,96,99,101,104
TJK,Tajikistan,32534,CPI Score,Total,22,22,23,26,25,21,25,25,25
TJK,Tajikistan,32535,Rank,Rank,157,154,152,136,151,161,152,153,149
TKM,Turkmenistan,32534,CPI Score,Total,17,17,17,18,22,19,20,19,19
TKM,Turkmenistan,32535,Rank,Rank,170,168,169,154,154,167,161,165,165
TLS,Timor-Leste,32534,CPI Score,Total,,,,,,,35,38,40
TLS,Timor-Leste,32535,Rank,Rank,,,,,,,105,93,86
TTO,Trinidad and Tobago,32534,CPI Score,Total,39,38,38,39,35,41,41,40,40
TTO,Trinidad and Tobago,32535,Rank,Rank,80,83,85,72,101,77,78,85,86
TUN,Tunisia,32534,CPI Score,Total,41,41,40,38,41,42,43,43,44
TUN,Tunisia,32535,Rank,Rank,75,77,79,76,75,74,73,74,69
TUR,Turkey,32534,CPI Score,Total,49,50,45,42,41,40,41,39,40
TUR,Turkey,32535,Rank,Rank,54,53,64,66,75,81,78,91,86
TWN,"Taiwan, China",32534,CPI Score,Total,,,,,,,63,65,65
TWN,"Taiwan, China",32535,Rank,Rank,,,,,,,31,28,28
TZA,Tanzania,32534,CPI Score,Total,35,33,31,30,32,36,36,37,38
TZA,Tanzania,32535,Rank,Rank,102,111,119,117,116,103,99,96,94
UGA,Uganda,32534,CPI Score,Total,29,26,26,25,25,26,26,28,27
UGA,Uganda,32535,Rank,Rank,130,140,142,139,151,151,149,137,142
UKR,Ukraine,32534,CPI Score,Total,26,25,26,27,29,30,32,30,33
UKR,Ukraine,32535,Rank,Rank,144,144,142,130,131,130,120,126,117
URY,Uruguay,32534,CPI Score,Total,72,73,73,74,71,70,70,71,71
URY,Uruguay,32535,Rank,Rank,20,19,21,21,21,23,23,21,21
USA,United States,32534,CPI Score,Total,73,73,74,,,75,71,69,67
USA,United States,32535,Rank,Rank,19,19,17,,,16,,23,25
UZB,Uzbekistan,32534,CPI Score,Total,17,17,18,19,21,22,23,25,26
UZB,Uzbekistan,32535,Rank,Rank,170,168,166,153,156,157,158,153,146
